Date,Open,High,Low,Close,Adj Close,Volume,Conversion,Baseline,SpanA,SpanB,Lagging,label,group,over_cloud,a_over_b,conv_over_base,price_over_conv,position,daily_return
2018-04-20,567.989013671875,618.7150268554688,560.2830200195312,615.718017578125,615.718017578125,2849469952,518.0640106201172,491.260009765625,604.8587493896484,747.9290161132812,707.0499877929688,0,3,-1,-1,1,1,0,0.08422251964765093
2018-04-21,616.0040283203125,621.8880004882812,578.5499877929688,605.39501953125,605.39501953125,2612460032,552.2734985351562,492.84649658203125,597.5212554931641,726.0155029296875,672.656982421875,0,3,-1,-1,1,1,0,-0.01676578848135657
2018-04-22,606.1190185546875,640.7670288085938,593.8690185546875,621.8599853515625,621.8599853515625,2426269952,564.5230102539062,502.2860107421875,591.4817504882812,716.4519958496094,694.3670043945312,0,3,-1,-1,1,1,0,0.027197061900279706
2018-04-23,621.198974609375,646.7000122070312,621.0349731445312,642.5479736328125,642.5479736328125,2386830080,573.4750061035156,505.25250244140625,587.3122406005859,713.8969879150391,696.530029296875,0,3,-1,-1,1,1,0,0.03326792006009871
2018-04-24,643.3980102539062,708.875,643.3980102539062,708.1580200195312,708.1580200195312,3581860096,604.5625,536.3399963378906,557.7882385253906,684.3729858398438,715.3690185546875,0,3,-1,-1,1,1,0,0.10210917951507215
2018-04-25,707.06201171875,707.06201171875,600.2119750976562,615.416015625,615.416015625,4216140032,605.7194976806641,536.3399963378906,546.18798828125,675.7829895019531,699.2219848632812,0,3,1,-1,1,1,2,-0.13096230187716207
2018-04-26,618.0789794921875,663.1810302734375,604.0070190429688,662.8090209960938,662.8090209960938,2984009984,605.9600067138672,536.3399963378906,534.1162567138672,675.7829895019531,647.7410278320312,0,3,-1,-1,1,1,0,0.07700970427778464
2018-04-27,662.1090087890625,684.8679809570312,647.031982421875,647.031982421875,647.031982421875,2598129920,616.0685119628906,537.8930053710938,524.6497497558594,673.3689880371094,583.5850219726562,0,3,-1,-1,1,1,0,-0.023803294877472347
2018-04-28,644.64599609375,691.4420166015625,644.64599609375,683.677978515625,683.677978515625,2496659968,634.5790100097656,537.8930053710938,509.29949951171875,673.3689880371094,601.7550048828125,0,3,-1,-1,1,1,0,0.056637070638428266
2018-04-29,683.9119873046875,697.7559814453125,670.5130004882812,688.8809814453125,688.8809814453125,2740559872,643.7124938964844,537.8930053710938,500.5050048828125,673.3689880371094,586.7340087890625,0,3,1,-1,1,1,2,0.007610312300805777
2018-04-30,689.760986328125,694.4390258789062,666.1170043945312,669.9240112304688,669.9240112304688,2853100032,651.3720092773438,537.8930053710938,491.7750015258789,673.3689880371094,587.280029296875,0,3,1,-1,1,1,2,-0.027518498442315686
2018-05-01,670.4630126953125,674.4030151367188,637.5399780273438,673.6129760742188,673.6129760742188,2678960128,654.5434875488281,537.8930053710938,484.083740234375,673.3689880371094,572.6680297851562,0,3,-1,-1,1,1,0,0.0055065422076368
2018-05-02,674.0750122070312,688.8419799804688,667.4199829101562,687.1489868164062,687.1489868164062,2822269952,654.5434875488281,539.4055023193359,480.23423767089844,673.3689880371094,516.0360107421875,0,3,1,-1,1,1,2,0.020094640725412782
2018-05-03,686.5910034179688,784.3410034179688,686.5910034179688,779.5430297851562,779.5430297851562,4210939904,692.2764892578125,584.9714965820312,465.07823944091797,673.3689880371094,565.3880004882812,0,3,1,-1,1,-1,0,0.13445998574023377
2018-05-04,776.7750244140625,803.7459716796875,762.6320190429688,785.6240234375,785.6240234375,3533410048,703.8764953613281,597.177978515625,462.34049224853516,673.3689880371094,559.5900268554688,0,3,1,-1,1,1,2,0.007800715829656912
